,arabica_usd_kg,robusta_usd_kg,usd_ugx_rate,arabica_usd_kg_lag1,robusta_usd_kg_lag1
2024-11-01,6.72,4.98,3635.9130045572915,6.1,4.89
2024-12-01,7.57,5.22,3620.1590576171875,6.72,4.98
2025-01-01,7.81,5.41,3645.334406072443,7.57,5.22
2025-02-01,9.05,5.81,3638.3344604492186,7.81,5.41
2025-03-01,8.92,5.69,3623.7375044389205,9.05,5.81
2025-04-01,8.64,5.43,3630.5532836914062,8.92,5.69
2025-05-01,8.77,5.24,3614.7438151041665,8.64,5.43
2025-06-01,8.01,4.33,3568.303455699574,8.77,5.24
2025-07-01,7.18,3.69,3547.397312330163,8.01,4.33
2025-08-01,8.08,4.39,3520.454299200149,7.18,3.69
2025-09-01,8.83,4.66,3469.833573774858,8.08,4.39
2025-10-01,8.9,4.74,3425.7757679332385,8.83,4.66
2025-11-01,9.05,4.74,3532.014794921875,8.9,4.74
2025-12-01,8.4,4.2,3537.851984197443,9.05,4.74
2026-01-01,8.02,4.24,3522.636009579613,8.4,4.2
2026-02-01,7.08,3.96,3526.7064697265623,8.02,4.24
2026-03-01,7.37,3.9,3687.923244310462,7.08,3.96
2026-04-01,7.3,3.63,3679.7084406072445,7.37,3.9
2026-05-01,6.95,3.67,3725.2260858444943,7.3,3.63
2026-06-01,6.79,3.73,3674.572920365767,6.95,3.67
