Date,arabica_futures_cents_lb
2022-01-14 00:00:00-05:00,239.64999389648438
2022-01-18 00:00:00-05:00,239.60000610351562
2022-01-19 00:00:00-05:00,244.4499969482422
2022-01-20 00:00:00-05:00,243.64999389648438
2022-01-21 00:00:00-05:00,237.89999389648438
2022-01-24 00:00:00-05:00,232.9499969482422
2022-01-25 00:00:00-05:00,237.89999389648438
2022-01-26 00:00:00-05:00,238.89999389648438
2022-01-27 00:00:00-05:00,232.0500030517578
2022-01-28 00:00:00-05:00,235.89999389648438
2022-01-31 00:00:00-05:00,235.10000610351562
2022-02-01 00:00:00-05:00,236.6999969482422
2022-02-02 00:00:00-05:00,238.8000030517578
2022-02-03 00:00:00-05:00,243.89999389648438
2022-02-04 00:00:00-05:00,241.85000610351562
2022-02-07 00:00:00-05:00,241.64999389648438
2022-02-08 00:00:00-05:00,248.9499969482422
2022-02-09 00:00:00-05:00,258.3500061035156
2022-02-10 00:00:00-05:00,255.1999969482422
2022-02-11 00:00:00-05:00,251.64999389648438
2022-02-14 00:00:00-05:00,247.5500030517578
2022-02-15 00:00:00-05:00,251.85000610351562
2022-02-16 00:00:00-05:00,252.25
2022-02-17 00:00:00-05:00,251.5
2022-02-18 00:00:00-05:00,246.85000610351562
2022-02-22 00:00:00-05:00,248.4499969482422
2022-02-23 00:00:00-05:00,248.60000610351562
2022-02-24 00:00:00-05:00,239.35000610351562
2022-02-25 00:00:00-05:00,240.0500030517578
2022-02-28 00:00:00-05:00,234.25
2022-03-01 00:00:00-05:00,237.25
2022-03-02 00:00:00-05:00,230.4499969482422
2022-03-03 00:00:00-05:00,224.14999389648438
2022-03-04 00:00:00-05:00,224.14999389648438
2022-03-07 00:00:00-05:00,225.5
2022-03-08 00:00:00-05:00,234.0500030517578
2022-03-09 00:00:00-05:00,230.4499969482422
2022-03-10 00:00:00-05:00,225.1999969482422
2022-03-11 00:00:00-05:00,222.9499969482422
2022-03-14 00:00:00-04:00,219.64999389648438
