Date,usd_ugx_rate
2016-08-03 00:00:00+01:00,3347.300048828125
2016-08-04 00:00:00+01:00,3329.800048828125
2016-08-05 00:00:00+01:00,3347.0
2016-08-08 00:00:00+01:00,3335.5
2016-08-09 00:00:00+01:00,3330.39990234375
2016-08-10 00:00:00+01:00,3332.199951171875
2016-08-11 00:00:00+01:00,3335.300048828125
2016-08-12 00:00:00+01:00,3326.60009765625
2016-08-15 00:00:00+01:00,3325.5
2016-08-16 00:00:00+01:00,3330.39990234375
2016-08-17 00:00:00+01:00,3329.10009765625
2016-08-18 00:00:00+01:00,3322.89990234375
2016-08-19 00:00:00+01:00,3330.300048828125
2016-08-22 00:00:00+01:00,3319.89990234375
2016-08-23 00:00:00+01:00,3341.699951171875
2016-08-24 00:00:00+01:00,3337.699951171875
2016-08-25 00:00:00+01:00,3337.199951171875
2016-08-26 00:00:00+01:00,3357.89990234375
2016-08-29 00:00:00+01:00,3332.0
2016-08-30 00:00:00+01:00,3345.10009765625
2016-08-31 00:00:00+01:00,3333.300048828125
2016-09-01 00:00:00+01:00,3320.89990234375
2016-09-02 00:00:00+01:00,3343.300048828125
2016-09-05 00:00:00+01:00,3339.10009765625
2016-09-06 00:00:00+01:00,3315.10009765625
2016-09-07 00:00:00+01:00,3347.800048828125
2016-09-08 00:00:00+01:00,3350.10009765625
2016-09-09 00:00:00+01:00,3350.800048828125
2016-09-12 00:00:00+01:00,3338.60009765625
2016-09-13 00:00:00+01:00,3347.39990234375
2016-09-14 00:00:00+01:00,3335.89990234375
2016-09-15 00:00:00+01:00,3335.60009765625
2016-09-16 00:00:00+01:00,3360.199951171875
2016-09-19 00:00:00+01:00,3332.89990234375
2016-09-20 00:00:00+01:00,3347.10009765625
2016-09-21 00:00:00+01:00,3332.0
2016-09-22 00:00:00+01:00,3359.699951171875
2016-09-23 00:00:00+01:00,3344.199951171875
2016-09-26 00:00:00+01:00,3347.60009765625
2016-09-27 00:00:00+01:00,3359.699951171875
2016-09-28 00:00:00+01:00,3344.60009765625
2016-09-29 00:00:00+01:00,3350.0
2016-09-30 00:00:00+01:00,3327.0
2016-10-03 00:00:00+01:00,3358.39990234375
2016-10-04 00:00:00+01:00,3350.199951171875
2016-10-05 00:00:00+01:00,3364.699951171875
2016-10-06 00:00:00+01:00,3387.10009765625
2016-10-07 00:00:00+01:00,3353.60009765625
2016-10-10 00:00:00+01:00,3378.0
2016-10-11 00:00:00+01:00,3388.10009765625
2016-10-12 00:00:00+01:00,3381.39990234375
2016-10-13 00:00:00+01:00,3391.0
2016-10-14 00:00:00+01:00,3424.699951171875
2016-10-17 00:00:00+01:00,3415.89990234375
2016-10-18 00:00:00+01:00,3433.89990234375
2016-10-19 00:00:00+01:00,3407.89990234375
2016-10-20 00:00:00+01:00,3413.699951171875
2016-10-21 00:00:00+01:00,3405.39990234375
2016-10-24 00:00:00+01:00,3398.60009765625
2016-10-25 00:00:00+01:00,3415.89990234375
2016-10-26 00:00:00+01:00,3423.0
2016-10-27 00:00:00+01:00,3432.0
2016-10-28 00:00:00+01:00,3401.5
2016-10-31 00:00:00+00:00,3417.300048828125
2016-11-01 00:00:00+00:00,3421.699951171875
2016-11-02 00:00:00+00:00,3439.300048828125
2016-11-03 00:00:00+00:00,3429.60009765625
2016-11-04 00:00:00+00:00,3442.699951171875
2016-11-07 00:00:00+00:00,3474.39990234375
2016-11-08 00:00:00+00:00,3473.699951171875
2016-11-09 00:00:00+00:00,3537.699951171875
2016-11-10 00:00:00+00:00,3485.60009765625
2016-11-11 00:00:00+00:00,3505.199951171875
2016-11-14 00:00:00+00:00,3527.800048828125
2016-11-15 00:00:00+00:00,3532.199951171875
2016-11-16 00:00:00+00:00,3542.10009765625
2016-11-17 00:00:00+00:00,3590.10009765625
2016-11-18 00:00:00+00:00,3573.699951171875
2016-11-21 00:00:00+00:00,3577.5
2016-11-22 00:00:00+00:00,3568.89990234375
2016-11-23 00:00:00+00:00,3596.89990234375
2016-11-24 00:00:00+00:00,3590.699951171875
2016-11-25 00:00:00+00:00,3579.800048828125
2016-11-28 00:00:00+00:00,3580.0
2016-11-29 00:00:00+00:00,3565.0
2016-11-30 00:00:00+00:00,3588.199951171875
2016-12-01 00:00:00+00:00,3570.89990234375
2016-12-02 00:00:00+00:00,3580.0
2016-12-05 00:00:00+00:00,3566.10009765625
2016-12-06 00:00:00+00:00,3591.60009765625
2016-12-07 00:00:00+00:00,3565.0
2016-12-08 00:00:00+00:00,3625.699951171875
2016-12-09 00:00:00+00:00,3558.10009765625
2016-12-12 00:00:00+00:00,3528.0
2016-12-13 00:00:00+00:00,3525.60009765625
2016-12-14 00:00:00+00:00,3592.0
2016-12-15 00:00:00+00:00,3555.39990234375
2016-12-16 00:00:00+00:00,3544.5
2016-12-19 00:00:00+00:00,3541.800048828125
2016-12-20 00:00:00+00:00,3522.300048828125
2016-12-21 00:00:00+00:00,3509.60009765625
2016-12-22 00:00:00+00:00,3530.39990234375
2016-12-23 00:00:00+00:00,3537.10009765625
2016-12-26 00:00:00+00:00,3535.39990234375
2016-12-27 00:00:00+00:00,3534.199951171875
2016-12-28 00:00:00+00:00,3557.60009765625
2016-12-29 00:00:00+00:00,3564.699951171875
2016-12-30 00:00:00+00:00,3574.5
2017-01-02 00:00:00+00:00,3570.39990234375
2017-01-03 00:00:00+00:00,3569.800048828125
2017-01-04 00:00:00+00:00,3562.800048828125
2017-01-05 00:00:00+00:00,3549.0
2017-01-06 00:00:00+00:00,3613.300048828125
2017-01-09 00:00:00+00:00,3569.60009765625
2017-01-10 00:00:00+00:00,3589.60009765625
2017-01-11 00:00:00+00:00,3564.60009765625
2017-01-12 00:00:00+00:00,3588.89990234375
2017-01-13 00:00:00+00:00,3568.89990234375
2017-01-16 00:00:00+00:00,3569.39990234375
2017-01-17 00:00:00+00:00,3572.60009765625
2017-01-18 00:00:00+00:00,3575.699951171875
2017-01-19 00:00:00+00:00,3541.800048828125
2017-01-20 00:00:00+00:00,3538.89990234375
2017-01-23 00:00:00+00:00,3540.39990234375
2017-01-24 00:00:00+00:00,3552.300048828125
2017-01-25 00:00:00+00:00,3549.199951171875
2017-01-26 00:00:00+00:00,3565.10009765625
2017-01-27 00:00:00+00:00,3551.60009765625
2017-01-30 00:00:00+00:00,3535.10009765625
2017-01-31 00:00:00+00:00,3534.0
2017-02-01 00:00:00+00:00,3555.60009765625
2017-02-02 00:00:00+00:00,3543.39990234375
2017-02-03 00:00:00+00:00,3520.699951171875
2017-02-06 00:00:00+00:00,3536.60009765625
2017-02-07 00:00:00+00:00,3539.0
2017-02-08 00:00:00+00:00,3523.699951171875
2017-02-09 00:00:00+00:00,3545.89990234375
2017-02-10 00:00:00+00:00,3537.199951171875
2017-02-13 00:00:00+00:00,3558.199951171875
2017-02-14 00:00:00+00:00,3560.10009765625
2017-02-15 00:00:00+00:00,3529.10009765625
2017-02-16 00:00:00+00:00,3529.89990234375
2017-02-17 00:00:00+00:00,3552.800048828125
2017-02-20 00:00:00+00:00,3551.699951171875
2017-02-21 00:00:00+00:00,3545.89990234375
2017-02-22 00:00:00+00:00,3523.5
2017-02-23 00:00:00+00:00,3544.39990234375
2017-02-24 00:00:00+00:00,3543.39990234375
2017-02-27 00:00:00+00:00,3542.89990234375
2017-02-28 00:00:00+00:00,3547.89990234375
2017-03-01 00:00:00+00:00,3547.699951171875
2017-03-02 00:00:00+00:00,3557.800048828125
2017-03-03 00:00:00+00:00,3555.800048828125
2017-03-06 00:00:00+00:00,3557.39990234375
2017-03-07 00:00:00+00:00,3559.89990234375
2017-03-08 00:00:00+00:00,3558.5
2017-03-09 00:00:00+00:00,3547.199951171875
2017-03-10 00:00:00+00:00,3540.10009765625
2017-03-13 00:00:00+00:00,3557.5
2017-03-14 00:00:00+00:00,3566.199951171875
2017-03-15 00:00:00+00:00,3516.60009765625
2017-03-16 00:00:00+00:00,3535.699951171875
2017-03-17 00:00:00+00:00,3552.0
2017-03-20 00:00:00+00:00,3562.300048828125
2017-03-21 00:00:00+00:00,3559.39990234375
